actualTravelTime;fiveMinuteMean;trafficVolume
564;583.53125;80
604;578.875;80
569;586.9032258;80
573;586.9032258;81
574;590.4666667;81
608;583.53125;79
568;602.2413793;81
527;640.0344828;69
520;635.7333333;68
523;633.9354839;68
522;636.6451613;68
516;640.4193548;68
508;643.8333333;68
498;642.9666667;69
530;640.4193548;68
429;626.1515152;61
496;659.4545455;67
514;659.4545455;67
437;626.2352941;70
529;620.5666667;66
512;629;63
522;627.09375;62
517;626.8125;64
451;623.0857143;70
529;625.1818182;64
528;625.4545455;66
497;627.4545455;71
524;623.0882353;70
549;626.8125;66
455;612.8055556;72
507;623.0857143;71
552;625.4545455;67
543;624.9090909;69
553;626.875;67
545;626.2352941;69
536;627.4545455;71
540;624.7058824;71
501;613.1621622;68
541;623.0857143;71
497;612.8055556;71
479;601.6111111;76
542;615.0789474;67
484;623.3142857;78
543;613.1621622;69
540;611.2702703;73
525;609.1578947;75
542;611.1315789;75
535;601.6111111;77
526;622.8611111;77
531;622.8611111;78
509;619.1025641;78
532;627.4444444;78
531;626.1666667;79
490;596.5348837;77
549;621.1578947;77
485;594.8604651;77
522;597.5238095;78
550;619.1025641;78
557;619.1025641;78
520;594.8604651;76
517;594.8604651;76
508;591.2272727;76
519;592.2765957;74
510;585.9545455;75
522;586.1590909;76
519;586.9069767;78
595;599.2954545;77
464;588.4651163;73
494;587.0454545;71
552;590;75
543;586.7380952;77
547;587.2857143;76
524;587.5348837;72
616;593.2173913;75
526;587.2272727;73
466;580.5217391;72
1743;431.0697674;75
1700;442.3953488;82
541;588.9090909;73
589;586.3636364;76
613;588.3409091;74
590;581.0869565;71
603;580.5217391;71
604;575.0652174;74
573;548.2307692;74
642;577.2978723;73
1377;575.7272727;82
662;576.8222222;73
644;573.1521739;72
627;554.4545455;73
608;546.8918919;76
577;538.5428571;79
650;548.5384615;72
649;548.7368421;73
635;546.3611111;76
635;546.3611111;76
635;545.6285714;76
534;519.7368421;78
581;529.1315789;78
508;515.075;76
621;531.8529412;78
637;535.5142857;79
620;530;78
578;521;77
574;520.3076923;78
648;530.4473684;79
650;529.3076923;76
666;526.8571429;75
663;526.3170732;74
588;516.275;79
1131;621.1578947;78
695;521;76
667;517.9756098;75
668;515.075;75
661;515.5365854;76
640;516.7435897;81
656;516.7435897;82
677;515.4634146;76
620;520.4146341;77
683;516.7435897;80
681;516.7435897;82
616;520.3255814;76
617;520.3255814;76
621;521.6976744;73
889;534.2647059;80
701;519.5;80
560;554.5365854;72
625;523.673913;71
1450;625.4545455;68
718;520.3255814;75
1634;640.0344828;70
727;520.3255814;76
672;523.0444444;71
1003;546.8918919;75
725;521.744186;73
2914;459.4285714;87
673;524.5;71
614;589.9736842;71
651;525.097561;72
718;523.9782609;71
635;589.9736842;71
678;554.5365854;72
735;524.5;71
587;616.2413793;67
705;588.3421053;73
590;620.137931;66
660;597.3529412;69
577;630.8148148;68
657;601.34375;69
672;599.5454545;70
658;603.03125;69
567;644.12;73
571;685.5416667;74
978;515.804878;76
645;627.7777778;67
640;626.9285714;68
634;630.8148148;69
694;616.2413793;66
1173;538.5428571;79
727;608;68
704;616.2413793;66
521;679.0384615;80
702;627.7777778;67
649;680.962963;74
706;633.9230769;69
700;637;71
695;644.12;72
653;697;76
721;655.4782609;73
698;687.5384615;75
700;693.0769231;75
654;716.1538462;77
699;715.9565217;76
691;721.0833333;75
1134;518.5128205;80
720;717.64;75
694;679.0384615;80
729;721.56;76
707;679.0384615;79
570;664.7666667;84
714;633.5925926;83
754;679.0384615;81
751;637.1538462;84
773;637.5555556;83
784;637.1538462;83
908;697.72;74
775;638;88
821;637.5555556;84
739;662.6333333;83
815;638;86
834;637.5555556;85
833;638;85
834;638;86
774;659.3103448;81
838;638;87
787;659.3103448;82
563;810.7878788;63
707;644.5151515;80
668;657.5333333;77
1249;526.0697674;72
806;664.7666667;83
795;664.6451613;84
790;663.875;84
822;662.4827586;82
738;644.5151515;80
780;667.5625;85
778;666.1212121;84
812;664.6451613;83
777;645.65625;82
735;654.0645161;75
845;663.875;84
724;694.0333333;71
782;646.9354839;79
772;657.5333333;77
762;693.2068966;71
716;816.84375;65
700;812.8484848;63
776;730.9310345;71
755;821.483871;65
760;821.483871;65
679;791.6;68
1149;717.64;75
727;810.0588235;63
629;791.4571429;66
775;815.8125;63
744;810.0588235;65
670;784.5135135;64
572;776.5526316;68
742;810.0588235;66
787;807.9705882;60
742;781.0810811;65
750;778.5405405;65
2905;502.6071429;65
740;776.6756757;64
725;781.0789474;64
737;781.0789474;64
747;781.0789474;64
541;703.5714286;70
719;794.4615385;65
699;796.4210526;66
766;796.5882353;68
641;682.4444444;68
681;752.3055556;67
724;773.3846154;69
699;682.4444444;68
700;682.6756757;68
569;716.5172414;69
572;725.3846154;68
755;745.1944444;69
719;684.5882353;70
734;685.5428571;69
556;729.4166667;71
559;736.0869565;74
838;796.4210526;66
696;704.2424242;68
705;703.5714286;70
801;700.5;71
1508;722.2307692;79
713;725.3846154;69
1913;521.6976744;72
763;718.0344828;68
759;716.5172414;68
757;725.3846154;68
797;718.0344828;68
762;725.3846154;69
1281;751.7333333;64
778;745.2380952;74
1344;815.8125;62
2788;611.2702703;74
748;779.4375;72
833;762.5384615;72
834;762.7777778;72
1320;784.6666667;66
849;766.1071429;73
820;787.5;73
855;773.9666667;74
876;762.5384615;73
788;779.3636364;72
793;782.03125;73
874;787.9354839;73
817;791.34375;73
630;819.1794872;73
877;788.1176471;72
635;829.1351351;74
1284;773.3846154;69
632;817.4324324;74
643;812.375;75
703;829.1351351;74
886;791.9117647;72
658;801.7878788;75
886;788.9142857;74
897;788.2;74
871;792.7631579;71
643;791.9354839;70
903;784.3684211;71
946;789.7428571;74
912;794.2631579;69
939;787.9722222;74
929;792.7631579;71
1667;810.0588235;67
679;765.6129032;69
673;766.3333333;69
1488;684.5882353;69
677;777.6538462;66
